Sex,Year,Estimated incidence rate of new HIV infection per 1 000 uninfected population,Estimated number of annual new HIV infections,Estimated number of people living with HIV
Female,1994,2.55,100,200
Male,1994,1.21,100,100
Female,1995,3.51,200,500
Male,1995,1.63,100,100
Female,1996,4.1,200,500
Male,1996,1.85,100,200
Female,1997,4.25,200,500
Male,1997,1.87,100,200
Female,1998,3.71,200,500
Male,1998,1.66,100,200
Female,1999,3,200,500
Male,1999,1.37,100,200
Female,2000,2.46,100,500
Male,2000,1.13,100,200
Female,2001,1.63,100,500
Male,2001,0.75,100,200
Female,2002,1.17,100,500
Male,2002,0.56,100,200
Female,2003,0.8,100,200
Male,2003,0.38,100,200
Female,2004,0.66,100,200
Male,2004,0.32,100,200
Female,2005,0.55,100,200
Male,2005,0.27,100,200
Female,2006,0.49,100,500
Male,2006,0.24,100,500
Female,2007,0.48,100,500
Male,2007,0.23,100,500
Female,2008,0.38,100,500
Male,2008,0.19,100,500
Female,2009,0.33,100,500
Male,2009,0.16,100,500
Female,2010,0.31,100,500
Male,2010,0.16,100,500
Female,2011,0.27,100,500
Male,2011,0.14,100,500
Female,2012,0.25,100,500
Male,2012,0.12,100,500
Female,2013,0.21,100,500
Male,2013,0.1,100,500
Female,2014,0.19,100,500
Male,2014,0.1,100,500
Female,2015,0.17,100,500
Male,2015,0.08,100,500
Female,2016,0.15,100,500
Male,2016,0.06,100,500
Female,2017,0.13,100,500
Male,2017,0.06,100,500
Female,2018,0.11,100,500
Male,2018,0.06,100,500
Female,2019,0.08,100,500
Male,2019,0.04,100,500
Female,1990,2.29,500,520
Male,1990,0.51,100,200
Female,1991,2.79,500,650
Male,1991,0.58,100,200
Female,1992,3.16,500,790
Male,1992,0.63,100,200
Female,1993,3.32,500,900
Male,1993,0.64,100,200
Female,1994,3.34,500,980
Male,1994,0.63,100,200
Female,1995,3.09,500,1000
Male,1995,0.59,100,200
Female,1996,2.69,500,1000
Male,1996,0.51,100,200
Female,1997,2.25,500,980
Male,1997,0.43,100,200
Female,1998,1.84,500,910
Male,1998,0.35,100,200
Female,1999,1.31,200,820
Male,1999,0.25,100,500
Female,2000,1.08,200,750
Male,2000,0.21,100,500
Female,2001,0.93,200,700
Male,2001,0.17,100,500
Female,2002,0.81,200,690
Male,2002,0.15,100,500
Female,2003,0.72,200,690
Male,2003,0.13,100,500
Female,2004,0.66,200,710
Male,2004,0.12,100,500
Female,2005,0.6,200,720
Male,2005,0.11,100,500
Female,2006,0.55,200,730
Male,2006,0.1,100,500
Female,2007,0.51,100,730
Male,2007,0.09,100,510
Female,2008,0.47,100,730
Male,2008,0.08,100,530
Female,2009,0.44,100,730
Male,2009,0.08,100,550
Female,2010,0.41,100,720
Male,2010,0.07,100,570
Female,2011,0.38,100,710
Male,2011,0.06,100,580
Female,2012,0.34,100,700
Male,2012,0.06,100,580
Female,2013,0.31,100,680
Male,2013,0.05,100,580
Female,2014,0.28,100,660
Male,2014,0.05,100,570
Female,2015,0.26,100,640
Male,2015,0.04,100,560
Female,2016,0.23,100,630
Male,2016,0.03,100,550
Female,2017,0.21,100,610
Male,2017,0.03,100,540
Female,2018,0.2,100,590
Male,2018,0.03,100,530
Female,2019,0.18,100,580
Male,2019,0.03,100,510
Female,1990,5.65,12000,26000
Male,1990,1.11,2400,4500
Female,1991,5.99,13000,31000
Male,1991,1.14,2600,5100
Female,1992,5.95,14000,34000
Male,1992,1.1,2500,5400
Female,1993,5.41,13000,35000
Male,1993,0.97,2300,5400
Female,1994,4.63,11000,34000
Male,1994,0.8,2000,5300
Female,1995,3.82,9500,31000
Male,1995,0.65,1700,5200
Female,1996,3.17,8200,29000
Male,1996,0.53,1400,5400
Female,1997,2.7,7200,26000
Male,1997,0.44,1200,6000
Female,1998,2.32,6500,25000
Male,1998,0.37,1100,7100
Female,1999,1.95,5600,24000
Male,1999,0.31,920,8800
Female,2000,1.73,5200,25000
Male,2000,0.27,830,11000
Female,2001,1.49,4700,26000
Male,2001,0.24,750,14000
Female,2002,1.36,4400,28000
Male,2002,0.21,700,16000
Female,2003,1.18,4000,29000
Male,2003,0.19,630,19000
Female,2004,1.09,3800,31000
Male,2004,0.17,600,22000
Female,2005,0.95,3400,33000
Male,2005,0.15,540,25000
Female,2006,0.9,3300,35000
Male,2006,0.14,530,27000
Female,2007,0.83,3200,36000
Male,2007,0.13,500,29000
Female,2008,0.74,2900,37000
Male,2008,0.11,500,30000
Female,2009,0.69,2900,38000
Male,2009,0.11,500,31000
Female,2010,0.63,2700,38000
Male,2010,0.1,500,32000
Female,2011,0.57,2600,38000
Male,2011,0.09,500,32000
Female,2012,0.53,2400,37000
Male,2012,0.08,500,31000
Female,2013,0.45,2100,35000
Male,2013,0.07,500,30000
Female,2014,0.41,2000,33000
Male,2014,0.06,500,29000
Female,2015,0.38,1900,32000
Male,2015,0.06,500,27000
Female,2016,0.35,1800,30000
Male,2016,0.05,500,26000
Female,2017,0.32,1700,28000
Male,2017,0.05,500,24000
Female,2018,0.29,1600,26000
Male,2018,0.05,500,23000
Female,2019,0.27,1500,25000
Male,2019,0.04,500,21000
Female,1990,4.1,200,500
Male,1990,0.41,100,100
Female,1991,5.19,500,500
Male,1991,0.51,100,100
Female,1992,6.6,500,660
Male,1992,0.63,100,100
Female,1993,7.65,500,830
Male,1993,0.71,100,100
Female,1994,8.97,500,1000
Male,1994,0.82,100,100
Female,1995,9.65,510,1200
Male,1995,0.88,100,200
Female,1996,10.23,560,1400
Male,1996,0.94,100,200
